filepath,line_number,rule_type,secret_value,replaced_value,timestamp
models.py,16,generic-api-key,uk_test_123456789,Replaced_551a359a,2024:12:08:11:00:19
models.py,22,generic-api-key,self.api_key,Replaced_cbae5dbd,2024:12:08:11:00:19
config.py,3,generic-api-key,dev-secret-key-123,Replaced_73b4f897,2024:12:08:11:00:19
config.py,8,generic-api-key,pk_test_51HB8x9CJJ2PtpSAZ,Replaced_c00120dc,2024:12:08:11:00:19
config.py,9,"generic-api-key,stripe-access-token",sk_test_51HB8x9CJJ2PtpSAZ,Replaced_3c136ddd,2024:12:08:11:00:19
config.py,13,generic-api-key,GOCSPX-2HE9_9zdB7mj3kN,Replaced_2f48df56,2024:12:08:11:00:19
templates/index.html,10,generic-api-key,pk_test_TYooMQauvdEDq54NiTphI7jx,Replaced_1074811b,2024:12:08:11:00:19
templates/index.html,11,"generic-api-key,stripe-access-token",sk_test_4eC39HqLyjWDarjtT1zdp7dc,Replaced_0ccba941,2024:12:08:11:00:19
app.py,17,"generic-api-key,aws-access-token",AKIAIOSFODNN7EXAMPLE,Replaced_496ac118,2024:12:08:11:00:19
app.py,15,"generic-api-key,stripe-access-token",sk_live_51NBK2JGI8iCEF234fdsa789,Replaced_35cd1d4d,2024:12:08:11:00:19
app.py,16,generic-api-key,key-3ax6xnjp29jd6fds4gc373sgvjxteol0,Replaced_cd28cfc1,2024:12:08:11:00:19
app.py,23,generic-api-key,9u8A7b6C5d4E3F2G1,Replaced_28a1fa24,2024:12:08:11:00:19
app.py,44,"generic-api-key,stripe-access-token",sk_test_BQokikJOvBiI2HlWgH4olfQ2,Replaced_23ca1664,2024:12:08:11:00:19
app.py,50,generic-api-key,your-256-bit-secret-key-here,Replaced_263b7867,2024:12:08:11:00:19
app.py,67,generic-api-key,SG.pKwD24NsRqy6r8RH9bX0DA.8xDqI0JwDAS4cl8d6PrjeV,Replaced_8eed46dc,2024:12:08:11:00:19
app.py,70,generic-api-key,ghp_kd8392jf8sdf723hj2k3h42,Replaced_4a5d4157,2024:12:08:11:00:19
app.py,77,generic-api-key,server.key,Replaced_96b239ea,2024:12:08:11:00:19
